code,numeric_code,name,symbol,minor_units
AED,784,dírham de los Emiratos Árabes Unidos,AED,2
AFN,971,afgani afgano,AFN,2
ALL,008,lek albanés,ALL,2
AMD,051,dram armenio,AMD,2
AOA,973,kuanza angoleño,AOA,2
ARS,032,peso argentino,ARS,2
AUD,036,dólar australiano,AUD,2
AWG,533,florín arubeño,AWG,2
AZN,944,manat azerbaiyano,AZN,2
BAM,977,marco convertible de Bosnia y Herzegovina,BAM,2
BBD,052,dólar barbadense,BBD,2
BDT,050,taka bangladesí,BDT,2
BHD,048,dinar bareiní,BHD,3
BIF,108,franco burundés,BIF,0
BMD,060,dólar de Bermudas,BMD,2
BND,096,dólar bruneano,BND,2
BOB,068,boliviano,BOB,2
BOV,984,MVDOL boliviano,BOV,2
BRL,986,real brasileño,BRL,2
BSD,044,dólar bahameño,BSD,2
BTN,064,gultrum butanés,BTN,2
BWP,072,pula botsuano,BWP,2
BYN,933,rublo bielorruso,BYN,2
BZD,084,dólar beliceño,BZD,2
CAD,124,dólar canadiense,CAD,2
CDF,976,franco congoleño,CDF,2
CHE,947,euro WIR,CHE,2
CHF,756,franco suizo,CHF,2
CHW,948,franco WIR,CHW,2
CLF,990,unidad de fomento chilena,CLF,4
CLP,152,peso chileno,CLP,0
CNY,156,yuan renminbi,CNY,2
COP,170,peso colombiano,COP,2
COU,970,unidad de valor real colombiana,COU,2
CRC,188,colón costarricense,CRC,2
CUP,192,peso cubano,CUP,2
CVE,132,escudo de Cabo Verde,CVE,2
CZK,203,corona checa,CZK,2
DJF,262,franco yibutiano,DJF,0
DKK,208,corona danesa,DKK,2
DOP,214,peso dominicano,DOP,2
DZD,012,dinar argelino,DZD,2
EGP,818,libra egipcia,EGP,2
ERN,232,nakfa eritreo,ERN,2
ETB,230,bir etíope,ETB,2
EUR,978,euro,EUR,2
FJD,242,dólar fiyiano,FJD,2
FKP,238,libra malvinense,FKP,2
GBP,826,libra esterlina,GBP,2
GEL,981,lari georgiano,GEL,2
GHS,936,cedi ghanés,GHS,2
GIP,292,libra gibraltareña,GIP,2
GMD,270,dalasi gambiano,GMD,2
GNF,324,franco guineano,GNF,0
GTQ,320,quetzal guatemalteco,GTQ,2
GYD,328,dólar guyanés,GYD,2
HKD,344,dólar hongkonés,HKD,2
HNL,340,lempira hondureño,HNL,2
HTG,332,gourde haitiano,HTG,2
HUF,348,forinto húngaro,HUF,2
IDR,360,rupia indonesia,IDR,2
ILS,376,nuevo séquel israelí,ILS,2
INR,356,rupia india,INR,2
IQD,368,dinar iraquí,IQD,3
IRR,364,rial iraní,IRR,2
ISK,352,corona islandesa,ISK,0
JMD,388,dólar jamaicano,JMD,2
JOD,400,dinar jordano,JOD,3
JPY,392,yen japonés,JPY,0
KES,404,chelín keniano,KES,2
KGS,417,som kirguís,KGS,2
KHR,116,riel camboyano,KHR,2
KMF,174,franco comorense,KMF,0
KPW,408,won norcoreano,KPW,2
KRW,410,won surcoreano,KRW,0
KWD,414,dinar kuwaití,KWD,3
KYD,136,dólar de las Islas Caimán,KYD,2
KZT,398,tenge kazajo,KZT,2
LAK,418,kip laosiano,LAK,2
LBP,422,libra libanesa,LBP,2
LKR,144,rupia esrilanquesa,LKR,2
LRD,430,dólar liberiano,LRD,2
LSL,426,loti lesotense,LSL,2
LYD,434,dinar libio,LYD,3
MAD,504,dírham marroquí,MAD,2
MDL,498,leu moldavo,MDL,2
MGA,969,ariari malgache,MGA,2
MKD,807,dinar macedonio,MKD,2
MMK,104,kiat de Myanmar,MMK,2
MNT,496,tugrik mongol,MNT,2
MOP,446,pataca macaense,MOP,2
